Layer_1 5538 | Layer_2 24203 | Layer_3 75077
Epoch 00053 | Loss 1.3324 | Accuracy 0.6071 | Time : 1.3337 | loop 0.4541 | Model 0.8795 | x_y_time 0.0015 | pred 0.3315 | loss_time 0.0061
Epoch 00054 | Loss 1.3264 | Accuracy 0.6083 | Time : 1.3118 | loop 0.4427 | Model 0.8690 | x_y_time 0.0014 | pred 0.3255 | loss_time 0.0061
Epoch 00055 | Loss 1.3276 | Accuracy 0.6083 | Time : 1.3282 | loop 0.4525 | Model 0.8755 | x_y_time 0.0015 | pred 0.3297 | loss_time 0.0061
Epoch 00056 | Loss 1.3254 | Accuracy 0.6109 | Time : 1.3260 | loop 0.4525 | Model 0.8733 | x_y_time 0.0014 | pred 0.3282 | loss_time 0.0061
Epoch 00057 | Loss 1.3289 | Accuracy 0.6095 | Time : 1.3285 | loop 0.4501 | Model 0.8783 | x_y_time 0.0014 | pred 0.3293 | loss_time 0.0061
Epoch 00058 | Loss 1.3256 | Accuracy 0.6091 | Time : 1.3172 | loop 0.4463 | Model 0.8707 | x_y_time 0.0014 | pred 0.3264 | loss_time 0.0060
Epoch 00059 | Loss 1.3253 | Accuracy 0.6063 | Time : 1.3291 | loop 0.4502 | Model 0.8787 | x_y_time 0.0014 | pred 0.3295 | loss_time 0.0061
Epoch 00060 | Loss 1.3219 | Accuracy 0.6086 | Time : 1.3232 | loop 0.4469 | Model 0.8762 | x_y_time 0.0014 | pred 0.3292 | loss_time 0.0060
Epoch 00061 | Loss 1.3235 | Accuracy 0.6056 | Time : 1.3242 | loop 0.4517 | Model 0.8724 | x_y_time 0.0014 | pred 0.3287 | loss_time 0.0060
Epoch 00062 | Loss 1.3197 | Accuracy 0.6101 | Time : 1.3075 | loop 0.4421 | Model 0.8652 | x_y_time 0.0014 | pred 0.3255 | loss_time 0.0062
Epoch 00063 | Loss 1.3252 | Accuracy 0.6124 | Time : 1.3132 | loop 0.4454 | Model 0.8676 | x_y_time 0.0014 | pred 0.3260 | loss_time 0.0061
Epoch 00064 | Loss 1.3214 | Accuracy 0.6080 | Time : 1.3177 | loop 0.4491 | Model 0.8685 | x_y_time 0.0014 | pred 0.3267 | loss_time 0.0060
Epoch 00065 | Loss 1.3199 | Accuracy 0.6103 | Time : 1.3136 | loop 0.4455 | Model 0.8679 | x_y_time 0.0014 | pred 0.3253 | loss_time 0.0061
Epoch 00066 | Loss 1.3173 | Accuracy 0.6128 | Time : 1.3210 | loop 0.4464 | Model 0.8745 | x_y_time 0.0014 | pred 0.3269 | loss_time 0.0074
Epoch 00067 | Loss 1.3203 | Accuracy 0.6055 | Time : 1.3097 | loop 0.4427 | Model 0.8668 | x_y_time 0.0014 | pred 0.3254 | loss_time 0.0060
Epoch 00068 | Loss 1.3211 | Accuracy 0.6103 | Time : 1.3136 | loop 0.4439 | Model 0.8696 | x_y_time 0.0014 | pred 0.3249 | loss_time 0.0078
Epoch 00069 | Loss 1.3159 | Accuracy 0.6110 | Time : 1.3099 | loop 0.4456 | Model 0.8641 | x_y_time 0.0014 | pred 0.3254 | loss_time 0.0060
Epoch 00070 | Loss 1.3207 | Accuracy 0.6061 | Time : 1.3217 | loop 0.4497 | Model 0.8719 | x_y_time 0.0014 | pred 0.3285 | loss_time 0.0060
